Time,time(h),time(min),umol/L,o2sat,light
23-07-2013 14:54:03,0.859456,17.27646,833.855,416.72,l
23-07-2013 14:54:08,0.860848,17.35998,835.899,417.74,l
23-07-2013 14:54:13,0.862237,17.44332,837.79,418.69,l
23-07-2013 14:54:18,0.863628,17.52678,839.349,419.46,l
23-07-2013 14:54:23,0.865018,17.61018,841.992,420.79,l
23-07-2013 14:54:28,0.86641,17.6937,844.71,422.14,l
23-07-2013 14:54:33,0.867801,17.77716,846.143,422.86,l
23-07-2013 14:54:38,0.869192,17.86062,846.757,423.17,l
23-07-2013 14:54:43,0.870582,17.94402,846.794,423.19,l
23-07-2013 14:54:48,0.871978,18.02778,846.362,422.97,l
23-07-2013 14:54:53,0.873366,18.11106,845.996,422.79,l
23-07-2013 14:54:58,0.874756,18.19446,845.537,422.56,l
23-07-2013 14:55:03,0.876146,18.27786,846.019,422.80,l
23-07-2013 14:55:08,0.877538,18.36138,848.203,423.89,l
23-07-2013 14:55:13,0.878929,18.44484,850.845,425.21,l
23-07-2013 14:55:18,0.880319,18.52824,853.153,426.36,l
23-07-2013 14:55:23,0.881711,18.61176,855.573,427.57,l
23-07-2013 14:55:28,0.883105,18.6954,857.645,428.61,l
23-07-2013 14:55:33,0.884493,18.77868,857.23,428.40,l
23-07-2013 14:55:38,0.885884,18.86214,855.832,427.70,l
23-07-2013 14:55:43,0.887276,18.94566,853.586,426.58,l
23-07-2013 14:55:48,0.888666,19.02906,849.861,424.72,l
23-07-2013 14:55:53,0.890058,19.11258,849.148,424.36,l
23-07-2013 14:55:58,0.891447,19.19592,847.247,423.41,l
23-07-2013 14:56:03,0.892839,19.27944,846.976,423.28,l
23-07-2013 14:56:09,0.894234,19.36314,849.438,424.51,l
23-07-2013 14:56:14,0.895626,19.44666,852.85,426.21,l
23-07-2013 14:56:19,0.897016,19.53006,856.613,428.09,l
23-07-2013 14:56:24,0.898408,19.61358,860.656,430.11,l
23-07-2013 14:56:29,0.899799,19.69704,864.15,431.86,l
23-07-2013 14:56:34,0.901189,19.78044,867.381,433.47,l
23-07-2013 14:56:39,0.90258,19.8639,870.148,434.86,l
23-07-2013 14:56:44,0.903971,19.94736,872.31,435.94,l
23-07-2013 14:56:49,0.905364,20.03094,873.937,436.75,l
23-07-2013 14:56:54,0.906753,20.11428,875.614,437.59,l
23-07-2013 14:56:59,0.908144,20.19774,877.96,438.76,l
23-07-2013 14:57:04,0.909536,20.28126,879.395,439.48,d
23-07-2013 14:57:09,0.910926,20.36466,878.923,439.24,d
23-07-2013 14:57:14,0.912318,20.44818,858.442,429.01,d
23-07-2013 14:57:19,0.913709,20.53164,818.313,408.95,d
23-07-2013 14:57:24,0.9151,20.6151,780.757,390.18,d
23-07-2013 14:57:29,0.916493,20.69868,748.874,374.25,d
23-07-2013 14:57:34,0.917882,20.78202,720.729,360.18,d
23-07-2013 14:57:39,0.919272,20.86542,694.747,347.20,d
23-07-2013 14:57:44,0.920663,20.94888,667.939,333.80,d
23-07-2013 14:57:49,0.922056,21.03246,640.693,320.19,d
23-07-2013 14:57:54,0.923446,21.11586,617.066,308.38,d
23-07-2013 14:57:59,0.924836,21.19926,595.547,297.62,d
23-07-2013 14:58:04,0.926228,21.28278,577.446,288.58,d
23-07-2013 14:58:09,0.927621,21.36636,559.77,279.75,d
23-07-2013 14:58:14,0.929009,21.44964,544.226,271.98,d
23-07-2013 14:58:19,0.930402,21.53322,530.604,265.17,d
23-07-2013 14:58:24,0.931791,21.61656,518.063,258.90,d
23-07-2013 14:58:29,0.933182,21.70002,506.457,253.10,d
23-07-2013 14:58:34,0.934574,21.78354,496.541,248.15,d
23-07-2013 14:58:39,0.935965,21.867,487.86,243.81,d
23-07-2013 14:58:44,0.937356,21.95046,479.651,239.71,d
23-07-2013 14:58:49,0.938748,22.03398,471.7,235.73,d
23-07-2013 14:58:54,0.940137,22.11732,463.778,231.77,d
23-07-2013 14:58:59,0.941529,22.20084,456.355,228.06,d
23-07-2013 14:59:04,0.942919,22.28424,448.756,224.27,d
23-07-2013 14:59:09,0.944311,22.36776,441.318,220.55,d
23-07-2013 14:59:14,0.945702,22.45122,434.346,217.06,d
23-07-2013 14:59:19,0.947093,22.53468,427.214,213.50,d
23-07-2013 14:59:24,0.948483,22.61808,420.026,209.91,d
23-07-2013 14:59:29,0.949878,22.70178,412.808,206.30,d
23-07-2013 14:59:34,0.951266,22.78506,405.513,202.66,d
23-07-2013 14:59:39,0.952657,22.86852,397.749,198.78,d
23-07-2013 14:59:44,0.954047,22.95192,389.137,194.47,d
23-07-2013 14:59:49,0.955439,23.03544,383.687,191.75,d
23-07-2013 14:59:54,0.95683,23.1189,377.904,188.86,d
23-07-2013 14:59:59,0.95822,23.2023,370.451,185.13,d
23-07-2013 15:00:04,0.959611,23.28576,364.61,182.21,d
23-07-2013 15:00:09,0.961006,23.36946,357.485,178.65,d
23-07-2013 15:00:14,0.962394,23.45274,350.592,175.21,d
23-07-2013 15:00:19,0.963785,23.5362,343.552,171.69,d
23-07-2013 15:00:24,0.965177,23.61972,336.944,168.39,d
23-07-2013 15:00:29,0.966567,23.70312,330.28,165.06,d
23-07-2013 15:00:34,0.967958,23.78658,323.146,161.49,d
23-07-2013 15:00:39,0.969348,23.86998,315.532,157.69,d
23-07-2013 15:00:44,0.97074,23.9535,309.17,154.51,d
23-07-2013 15:00:49,0.972131,24.03696,303.633,151.74,d
23-07-2013 15:00:54,0.973522,24.12042,297.63,148.74,d
23-07-2013 15:00:59,0.974913,24.20388,286.763,143.31,d
23-07-2013 15:01:04,0.976304,24.28734,268.793,134.33,d
