time,gvc,water,water2,light
45.0006,7.40707,8.2,8.2,D
45.084,7.40296,8.2,8.2,D
45.1674,7.40011,8.2,8.2,D
45.2508,7.39092,8.2,8.2,D
45.3342,7.38737,8.2,8.2,D
45.4176,7.38825,8.2,8.2,D
45.5004,7.39683,8.2,8.2,D
45.5838,7.40799,8.2,8.2,D
45.6672,7.42168,8.2,8.2,D
45.7506,7.4451,8.2,8.2,D
45.834,7.47293,8.2,8.2,D
45.9174,7.4856,8.2,8.2,D
46.0008,7.49108,8.2,8.2,D
46.0842,7.49455,8.2,8.2,D
46.1676,7.49766,8.2,8.2,D
46.2504,7.50623,8.2,8.2,D
46.3338,7.51784,8.2,8.2,D
46.4172,7.52604,8.2,8.2,D
46.5006,7.5365,8.2,8.2,D
46.584,7.54363,8.2,8.2,D
46.6674,7.55115,8.2,8.2,D
46.7508,7.556,8.2,8.2,D
46.8342,7.56378,8.2,8.2,D
46.9176,7.5732,8.2,8.2,D
47.0004,7.58588,8.2,8.2,D
47.0838,7.58943,8.2,8.2,D
47.1672,7.58234,8.2,8.2,D
47.2506,7.57193,8.2,8.2,D
47.334,7.55935,8.2,8.2,D
47.4174,7.55353,8.2,8.2,D
47.5008,7.55577,8.2,8.2,D
47.5842,7.56359,8.2,8.2,D
47.6676,7.56635,8.2,8.2,D
47.7504,7.56322,8.2,8.2,D
47.8338,7.55618,8.2,8.2,D
47.9172,7.54664,8.2,8.2,D
48.0006,7.53706,8.2,8.2,D
48.084,7.52576,8.2,8.2,D
48.1674,7.51752,8.2,8.2,D
48.2508,7.50689,8.2,8.2,D
48.3342,7.49912,8.2,8.2,D
48.4176,7.48754,8.2,8.2,D
48.5004,7.47695,8.2,8.2,D
48.5838,7.46144,8.2,8.2,D
48.6672,7.45037,8.2,8.2,D
48.7506,7.44078,8.2,8.2,D
48.834,7.43312,8.2,8.2,D
48.9174,7.42721,8.2,8.2,D
49.0008,7.42516,8.2,8.2,D
49.0842,7.42231,8.2,8.2,D
49.1676,7.42027,8.2,8.2,D
49.2504,7.42041,8.2,8.2,D
49.3338,7.42003,8.2,8.2,D
49.4172,7.41951,8.2,8.2,D
49.5006,7.41991,8.2,8.2,D
49.584,7.41983,8.2,8.2,D
49.6674,7.42095,8.2,8.2,D
49.7508,7.4218,8.2,8.2,D
49.8342,7.4242,8.2,8.2,D
49.9176,7.42534,8.2,8.2,D
50.0004,7.42513,8.2,8.2,D
50.0838,7.4248,8.2,8.2,D
50.1672,7.42568,8.2,8.2,D
50.2506,7.42655,8.2,8.2,D
50.334,7.42788,8.2,8.2,D
50.4174,7.42828,8.2,8.2,D
50.5008,7.43205,8.2,8.2,D
50.5842,7.44162,8.2,8.2,D
50.6676,7.44797,8.2,8.2,D
50.7504,7.45317,8.2,8.2,D
50.8338,7.45664,8.2,8.2,D
50.9172,7.46388,8.2,8.2,D
51.0006,7.46749,8.2,8.2,D
51.084,7.47301,8.2,8.2,D
51.1674,7.47196,8.2,8.2,D
51.2508,7.46668,8.2,8.2,D
51.3342,7.46116,8.2,8.2,D
51.4176,7.45878,8.2,8.2,D
51.5004,7.45883,8.2,8.2,D
51.5838,7.46078,8.2,8.2,D
51.6672,7.46216,8.2,8.2,D
51.7506,7.46377,8.2,8.2,D
51.834,7.46324,8.2,8.2,D
51.9174,7.46284,8.2,8.2,D
52.0008,7.46213,8.2,8.2,D
52.0842,7.46751,8.2,8.2,D
52.1676,7.47147,8.2,8.2,D
52.2504,7.47738,8.2,8.2,D
52.3338,7.48705,8.2,8.2,D
52.4172,7.50427,8.2,8.2,D
52.5006,7.51929,8.2,8.2,D
52.584,7.52859,8.2,8.2,D
52.6674,7.53494,8.2,8.2,D
52.7508,7.53767,8.2,8.2,D
52.8342,7.54829,8.2,8.2,D
52.9176,7.56838,8.2,8.2,D
53.0004,7.58978,8.2,8.2,D
53.0838,7.60242,8.2,8.2,D
53.1672,7.60725,8.2,8.2,D
53.2506,7.61014,8.2,8.2,D
53.334,7.60944,8.2,8.2,D
53.4174,7.60746,8.2,8.2,D
53.5008,7.60453,8.2,8.2,D
53.5842,7.60014,8.2,8.2,D
53.6676,7.59547,8.2,8.2,D
53.7504,7.58829,8.2,8.2,D
53.8338,7.58448,8.2,8.2,D
53.9172,7.58106,8.2,8.2,D
54.0006,7.58281,8.2,8.2,D
54.084,7.58295,8.2,8.2,D
54.1674,7.58573,8.2,8.2,D
54.2508,7.59441,8.2,8.2,D
54.3342,7.60082,8.2,8.2,D
54.4176,7.60594,8.2,8.2,D
54.5004,7.61242,8.2,8.2,D
54.5838,7.62687,8.2,8.2,D
54.6672,7.64859,8.2,8.2,D
54.7506,7.67054,8.2,8.2,D
54.834,7.68961,8.2,8.2,D
54.9174,7.70506,8.2,8.2,D
55.0008,7.71769,8.2,8.2,D
55.0842,7.7279,8.2,8.2,D
55.1676,7.7211,8.2,8.2,D
55.2504,7.71213,8.2,8.2,D
55.3338,7.70431,8.2,8.2,D
55.4172,7.69826,8.2,8.2,D
55.5006,7.68932,8.2,8.2,D
55.584,7.68321,8.2,8.2,D
55.6674,7.67588,8.2,8.2,D
55.7508,7.67055,8.2,8.2,D
55.8342,7.6719,8.2,8.2,D
55.9176,7.67423,8.2,8.2,D
56.0004,7.67803,8.2,8.2,D
56.0838,7.6823,8.2,8.2,D
56.1672,7.68284,8.2,8.2,D
56.2506,7.68272,8.2,8.2,D
56.334,7.68282,8.2,8.2,D
56.4174,7.6825,8.2,8.2,D
56.5008,7.68573,8.2,8.2,D
56.5842,7.69013,8.2,8.2,D
56.6676,7.69155,8.2,8.2,D
56.7504,7.69287,8.2,8.2,D
56.8338,7.69467,8.2,8.2,D
56.9172,7.6933,8.2,8.2,D
57.0006,7.69374,8.2,8.2,D
57.084,7.69087,8.2,8.2,D
57.1674,7.69229,8.2,8.2,D
57.2508,7.69448,8.2,8.2,D
57.3342,7.69427,8.2,8.2,D
57.4176,7.69611,8.2,8.2,D
57.5004,7.69698,8.2,8.2,D
57.5838,7.70198,8.2,8.2,D
57.6672,7.7121,8.2,8.2,D
57.7506,7.72203,8.2,8.2,D
57.834,7.73189,8.2,8.2,D
57.9174,7.74163,8.2,8.2,D
58.0008,7.75333,8.2,8.2,D
58.0842,7.75583,8.2,8.2,D
58.1676,7.75879,8.2,8.2,D
58.2504,7.76062,8.2,8.2,D
58.3338,7.75709,8.2,8.2,D
58.4172,7.76167,8.2,8.2,D
58.5006,7.75672,8.2,8.2,D
58.584,7.74999,8.2,8.2,D
58.6674,7.74708,8.2,8.2,D
